administrative,informational,product_related,bounce_rates,page_values
0.0,0.0,1.6094379124341003,0.18232155679395465,0.0
0.0,0.0,3.295836866004329,0.0,0.0
1.0986122886681098,0.0,2.995732273553991,0.03883602378519814,0.0
0.0,0.0,3.044522437723423,0.024497471600387438,1.0296194171811581
0.0,0.0,3.5263605246161616,0.014001519635813609,0.0
0.6931471805599453,0.0,3.4011973816621555,0.019214218923804288,0.0
1.3862943611198906,0.0,2.4849066497880004,0.0,0.0
0.0,0.0,1.3862943611198906,0.039220713153281295,0.0
1.6094379124341003,0.0,2.4849066497880004,0.0,0.0
0.0,0.0,0.6931471805599453,0.18232155679395465,0.0
0.0,0.0,4.060443010546419,0.03739211921706267,0.0
0.0,0.0,3.7612001156935624,0.0,0.0
1.6094379124341003,0.0,3.332204510175204,0.0,4.507557357121091
1.0986122886681098,0.0,2.6390573296152584,0.012422519998557155,0.0
0.0,0.0,0.6931471805599453,0.18232155679395465,0.0
1.3862943611198906,0.0,3.5553480614894135,0.0,3.122364924487357
0.0,0.0,2.0794415416798357,0.0,0.0
1.3862943611198906,1.6094379124341003,4.0943445622221,0.002895803112025565,0.0
0.0,0.0,2.70805020110221,0.0,0.0
0.0,0.0,3.1780538303479458,0.004788516731797178,0.0
0.0,0.0,3.6109179126442243,0.019214218923804288,0.0
1.0986122886681098,0.0,1.0986122886681098,0.0,0.0
1.3862943611198906,0.0,3.258096538021482,0.004788516731797178,0.0
1.0986122886681098,0.0,2.4849066497880004,0.0,0.0
0.0,0.0,1.0986122886681098,0.0,0.0
0.6931471805599453,1.791759469228055,3.4339872044851463,0.013705647056111932,0.0
1.6094379124341003,0.0,2.4849066497880004,0.024985252693908503,0.0
0.0,0.0,3.4011973816621555,0.00707491367196188,0.0
1.6094379124341003,0.0,2.70805020110221,0.0,0.0
0.0,0.0,1.3862943611198906,0.06456977064930008,0.0
1.6094379124341003,0.0,2.995732273553991,0.0,0.0
1.9459101490553132,1.0986122886681098,3.6375861597263857,0.019802627296179712,0.0
0.0,0.0,2.3978952727983707,0.0,0.0
0.0,0.0,2.0794415416798357,0.05704174036719702,0.0
0.0,0.0,2.1972245773362196,0.0,0.0
0.0,0.0,3.828641396489095,0.007472014838700995,2.714694743820879
